stop_id,route_ids
210167,25
127034,32
902806,103
902805,103
902804,140;141
902803,140;141
902801,140;141
150026,78
150024,78
150022,78
905559,117
150020,78
153005,34
905555,125
153007,34
905557,117
904053,51
212617,74
900355,60
905406,33
145004,183;66;83
145002,183;66;83
128030,9
102112,155
901420,165
158406,172
210155,16
158364,194;78
191044,180
101032,3
101031,3
146322,194
903684,56
903682,56
903683,56
903680,56
903681,56
100030,13
900798,3
905310,33
905311,25
905316,19
100035,13
100036,13
905315,19
100038,13
900793,73
905319,25
900795,71
900796,3
902330,120
902332,121
902337,121
902336,120
902339,2
903870,51
113082,71
905429,5
212801,32
212800,32
211338,180
904400,2
212565,800
191020,181
176046,180
153132,15
904409,102;2
901338,51
901339,75
210555,109;155;99
900240,68
900247,71
904790,3
210551,1
900244,170
901331,165
901332,165
900389,12
210208,26
176144,181
210080,119
210082,119
113036,68
210084,119
906030,19
114150,67;68;81
906034,117
105517,24
210777,4
147002,79
905047,99
212827,117
902797,140
902796,140
106228,107
212826,15
140168,49
902791,185
905049,102
134090,111;86
210883,37
210882,37
901201,117;121
901202,107
106398,15
106396,15
210338,111
106392,15
900143,71
102558,3
176192,180;181
900336,75
900335,124;75
176196,89
139044,155
900331,75
139046,155
138086,42
211592,4;55
211594,55
133038,117
211597,12
136134,178
900147,71
133032,115
902248,37
125062,155
164038,84
122016,83
906147,25
122014,83
906142,39
902247,1
122011,83
211442,93
211443,58
211440,93
176220,89
902852,87
211112,74
211113,189
211448,56
211449,36
211685,25
901113,21
211680,181
211937,221
903864,50
211935,34
903868,153;60
211939,37
146100,84
211958,49
108022,107
122040,162;83
114076,95
105116,9
905946,47
905945,33
906112,132
906362,148;5
906360,87
212039,84
122044,83
122128,162
902744,85;87
146088,84
905082,13
212013,79
102173,186;74
211061,89
102170,155;186;74
146086,84
211068,189
121160,71
903802,8
164034,84
212147,196
164032,84
900888,3
900886,3
900881,115;116;119
900880,170;66;73
900883,115;116;119
900882,115;116;119
903044,132
903045,141
903046,141
903040,150
211874,84
122232,71
133015,86
184042,189;89
107112,114
107110,114
125038,42
103172,21
770627,30
106414,21
107118,107
